<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.27	08:00:00	0.70321	0.70466	0.70319	0.70438	4835	5706582000	7
2015.11.27	09:00:00	0.70438	0.70495	0.70374	0.70382	5500	6489698000	7
2015.11.27	10:00:00	0.70384	0.70418	0.70305	0.70405	7489	10665320000	7
2015.11.27	11:00:00	0.70406	0.70471	0.70342	0.70383	8358	10103950000	7
2015.11.27	12:00:00	0.70384	0.70411	0.70312	0.70392	7492	9573300000	7
2015.11.27	13:00:00	0.70392	0.70484	0.70309	0.70318	5745	6970399000	7
2015.11.27	14:00:00	0.70318	0.70388	0.70235	0.70276	5644	7670400000	7
2015.11.27	15:00:00	0.70279	0.70380	0.70265	0.70292	4945	6806845000	7
2015.11.27	16:00:00	0.70293	0.70331	0.70235	0.70258	6128	7969100000	7
2015.11.27	17:00:00	0.70259	0.70409	0.70233	0.70382	5559	7293900000	7
2015.11.27	18:00:00	0.70384	0.70446	0.70344	0.70445	5413	8591400000	7
2015.11.27	19:00:00	0.70445	0.70510	0.70410	0.70437	3990	6411900000	7
2015.11.27	20:00:00	0.70435	0.70499	0.70431	0.70458	3735	5859900000	7
2015.11.27	21:00:00	0.70457	0.70469	0.70406	0.70407	3098	4604150000	7
2015.11.27	22:00:00	0.70406	0.70467	0.70403	0.70426	3669	6045700000	7
2015.11.27	23:00:00	0.70424	0.70474	0.70402	0.70412	2928	2225200000	7
2015.11.30	00:00:00	0.70390	0.70448	0.70363	0.70433	1450	1460650000	15
2015.11.30	01:00:00	0.70434	0.70445	0.70355	0.70370	4746	5980250000	10
2015.11.30	02:00:00	0.70370	0.70420	0.70346	0.70362	3601	4529100000	8
2015.11.30	03:00:00	0.70362	0.70425	0.70339	0.70417	3778	4498250000	7
2015.11.30	04:00:00	0.70417	0.70441	0.70397	0.70426	3051	3853900000	9
2015.11.30	05:00:00	0.70427	0.70441	0.70412	0.70428	2846	3418300000	8
2015.11.30	06:00:00	0.70429	0.70452	0.70414	0.70436	2683	3844750000	9
2015.11.30	07:00:00	0.70434	0.70461	0.70419	0.70420	2893	3514250000	8
2015.11.30	08:00:00	0.70421	0.70445	0.70390	0.70393	3320	4021495000	7
2015.11.30	09:00:00	0.70390	0.70438	0.70325	0.70366	4859	6564100000	7
2015.11.30	10:00:00	0.70366	0.70461	0.70352	0.70420	6188	10024000000	7
2015.11.30	11:00:00	0.70420	0.70500	0.70397	0.70486	7637	10212700000	7
2015.11.30	12:00:00	0.70487	0.70509	0.70393	0.70419	5915	8281000000	7
2015.11.30	13:00:00	0.70419	0.70468	0.70363	0.70468	6476	9040100000	7
2015.11.30	14:00:00	0.70468	0.70513	0.70443	0.70449	5818	6813200000	7
2015.11.30	15:00:00	0.70450	0.70487	0.70395	0.70409	5944	7563650000	7
2015.11.30	16:00:00	0.70409	0.70441	0.70267	0.70312	7096	9877150000	7
2015.11.30	17:00:00	0.70311	0.70352	0.70137	0.70160	7688	10991949000	7
